-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::reciprocal         0.00%      53.593us         0.00%      85.392us      17.078us       8.319us         0.00%       8.319us       1.664us           0 B           0 B       2.50 KB       2.50 KB             5  
                                           aten::detach         0.01%       2.068ms         0.02%       5.538ms       2.065us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2682  
                                                 detach         0.01%       3.469ms         0.01%       3.469ms       1.293us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2682  
                                               aten::to         0.01%       4.284ms         2.35%     848.515ms      99.114us       0.000us         0.00%     496.177ms      57.958us      50.83 MB           0 B       1.32 GB           0 B          8561  
                                         aten::_to_copy         0.03%      11.332ms         2.34%     844.231ms     261.615us       0.000us         0.00%     496.177ms     153.758us      50.83 MB           0 B       1.32 GB           0 B          3227  
                                            aten::copy_         0.64%     231.289ms         4.76%        1.720s      93.068us        1.154s         4.42%        1.258s      68.081us           0 B           0 B           0 B           0 B         18481  
                                            aten::fill_         0.08%      29.147ms         1.71%     616.295ms      81.017us     117.919ms         0.45%     119.754ms      15.743us           0 B           0 B           0 B           0 B          7607  
                                            aten::zero_         0.01%       5.401ms         1.61%     582.875ms     153.469us       0.000us         0.00%     112.710ms      29.676us           0 B           0 B           0 B           0 B          3798  
                                             aten::set_         0.00%       1.491ms         0.00%       1.491ms       1.512us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           986  
                                           aten::select         0.01%       3.913ms         0.01%       4.780ms       3.599us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1328  
                                       aten::as_strided         0.18%      63.444ms         0.18%      63.444ms       0.677us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         93735  
